Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|AN125HK|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|375372.99|45044.76|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|EN125-2A|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|362927.74|43551.33|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|EN125-2A|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|362927.74|43551.33|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|EN125-2A|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|362927.74|43551.33|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|EN125-2A|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|362927.74|43551.33|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|EN125-2A|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|362927.74|43551.33|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|EN125-2A|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|362927.74|43551.33|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|EN125-2A|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|362927.74|43551.33|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|EN125-2A|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|362927.74|43551.33|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|EN125-2A|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|362927.74|43551.33|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|EN125-2A|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|362927.74|43551.33|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|EN125-2A|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|362927.74|43551.33|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|EN125-2A|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|362927.74|43551.33|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|EN125-2A|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|362927.74|43551.33|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|EN125-2A|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|362927.74|43551.33|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|EN125-2A|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|362927.74|43551.33|
CHINA|PUERTO QUETZAL|19/09/2020| 8711209000|2021|SUZUKI|EN125-2A|125|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|362927.74|43551.33|
