,núm_corre,año_ocu,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_5,depto_ocu,mupio_ocu,área_geo_ocu,zona_ocu,sexo_per,edad_per,mayor_menor,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,estado_con,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
3606,3607.0,2015.0,Noviembre,13.0,Viernes,14.0,3.0,2.0,1.0,115.0,1.0,4.0,Hombre,22.0,1.0,3.0,3.0,5.0,9.0,4.0,2.0,Negro,9999.0,6.0,1.0
3608,3609.0,2015.0,Noviembre,13.0,Viernes,8.0,2.0,1.0,19.0,1906.0,2.0,99.0,Hombre,18.0,1.0,2.0,2.0,4.0,9.0,4.0,42.0,Negro,9999.0,6.0,1.0
3609,3610.0,2015.0,Noviembre,13.0,Viernes,21.0,4.0,3.0,19.0,1905.0,2.0,99.0,Hombre,16.0,2.0,2.0,2.0,4.0,9.0,4.0,42.0,Rojo,9999.0,6.0,3.0
3616,3617.0,2015.0,Noviembre,13.0,Viernes,14.0,3.0,2.0,2.0,201.0,2.0,99.0,Hombre,20.0,1.0,3.0,3.0,5.0,1.0,4.0,2.0,Azul,9999.0,6.0,1.0
3620,3621.0,2015.0,Noviembre,13.0,Viernes,23.0,4.0,3.0,4.0,416.0,2.0,99.0,Hombre,27.0,1.0,4.0,4.0,6.0,2.0,4.0,21.0,Rojo,9999.0,6.0,3.0
3621,3622.0,2015.0,Noviembre,13.0,Viernes,10.0,2.0,1.0,3.0,312.0,2.0,99.0,Hombre,28.0,1.0,4.0,4.0,6.0,9.0,4.0,2.0,Negro,2016.0,5.0,1.0
3623,3624.0,2015.0,Noviembre,14.0,Sabado,1.0,1.0,1.0,1.0,107.0,2.0,99.0,Hombre,29.0,1.0,4.0,4.0,6.0,1.0,4.0,21.0,Rojo,9999.0,6.0,3.0
3629,3630.0,2015.0,Noviembre,14.0,Sabado,22.0,4.0,3.0,1.0,115.0,1.0,3.0,Hombre,26.0,1.0,4.0,4.0,6.0,9.0,4.0,20.0,Rojo,9999.0,6.0,3.0
3659,3660.0,2015.0,Noviembre,15.0,Domingo,14.0,3.0,2.0,2.0,203.0,2.0,99.0,Hombre,58.0,1.0,10.0,10.0,12.0,1.0,4.0,4.0,Rojo,2014.0,5.0,1.0
3666,3667.0,2015.0,Noviembre,16.0,Lunes,8.0,2.0,1.0,1.0,101.0,2.0,12.0,Hombre,49.0,1.0,8.0,8.0,10.0,1.0,4.0,24.0,Negro,2011.0,5.0,1.0
3688,3689.0,2015.0,Noviembre,18.0,Miercoles,2.0,1.0,1.0,1.0,108.0,1.0,6.0,Hombre,21.0,1.0,3.0,3.0,5.0,1.0,4.0,2.0,Negro,9999.0,6.0,1.0
3702,3703.0,2015.0,Noviembre,19.0,Jueves,12.0,3.0,2.0,9.0,920.0,2.0,99.0,Hombre,23.0,1.0,3.0,3.0,5.0,1.0,4.0,21.0,Azul,9999.0,6.0,3.0
3708,3709.0,2015.0,Noviembre,20.0,Viernes,21.0,4.0,3.0,1.0,101.0,1.0,17.0,Hombre,34.0,1.0,5.0,5.0,7.0,2.0,4.0,24.0,Negro,9999.0,6.0,4.0
3725,3726.0,2015.0,Noviembre,21.0,Sabado,21.0,4.0,3.0,1.0,108.0,1.0,4.0,Hombre,36.0,1.0,6.0,6.0,8.0,9.0,4.0,42.0,Gris,9999.0,6.0,2.0
3751,3752.0,2015.0,Noviembre,22.0,Domingo,11.0,2.0,1.0,3.0,308.0,2.0,99.0,Hombre,28.0,1.0,4.0,4.0,6.0,9.0,4.0,42.0,Gris,2015.0,5.0,1.0
3754,3755.0,2015.0,Noviembre,23.0,Lunes,1.0,1.0,1.0,14.0,1406.0,1.0,99.0,Hombre,25.0,1.0,4.0,4.0,6.0,2.0,4.0,42.0,Rojo,9999.0,6.0,3.0
3758,3759.0,2015.0,Noviembre,24.0,Martes,19.0,4.0,3.0,1.0,101.0,1.0,6.0,Mujer,28.0,1.0,4.0,4.0,6.0,1.0,4.0,14.0,Blanco,2014.0,5.0,1.0
3764,3765.0,2015.0,Noviembre,24.0,Martes,18.0,4.0,3.0,5.0,512.0,2.0,99.0,Hombre,35.0,1.0,6.0,6.0,8.0,9.0,4.0,41.0,Rojo,2015.0,5.0,1.0
3766,3767.0,2015.0,Noviembre,24.0,Martes,12.0,3.0,2.0,8.0,801.0,2.0,99.0,Hombre,23.0,1.0,3.0,3.0,5.0,9.0,4.0,24.0,Negro,9999.0,6.0,1.0
3770,3771.0,2015.0,Noviembre,25.0,Miercoles,18.0,4.0,3.0,1.0,101.0,1.0,18.0,Hombre,16.0,2.0,2.0,2.0,4.0,9.0,4.0,2.0,Negro,9999.0,6.0,3.0
3775,3776.0,2015.0,Noviembre,25.0,Miercoles,21.0,4.0,3.0,10.0,1001.0,2.0,99.0,Hombre,21.0,1.0,3.0,3.0,5.0,1.0,4.0,42.0,Negro,9999.0,6.0,1.0
3778,3779.0,2015.0,Noviembre,25.0,Miercoles,19.0,4.0,3.0,15.0,1502.0,2.0,99.0,Hombre,23.0,1.0,3.0,3.0,5.0,1.0,4.0,37.0,Azul,9999.0,6.0,2.0
3782,3783.0,2015.0,Noviembre,26.0,Jueves,18.0,4.0,3.0,1.0,101.0,1.0,11.0,Hombre,45.0,1.0,8.0,8.0,10.0,9.0,4.0,42.0,Negro,9999.0,6.0,1.0
3794,3795.0,2015.0,Noviembre,27.0,Viernes,1.0,1.0,1.0,1.0,101.0,1.0,18.0,Hombre,24.0,1.0,3.0,3.0,5.0,9.0,4.0,2.0,Negro,9999.0,6.0,2.0
3796,3797.0,2015.0,Noviembre,27.0,Viernes,18.0,4.0,3.0,1.0,101.0,1.0,10.0,Hombre,56.0,1.0,10.0,10.0,12.0,1.0,4.0,2.0,Negro,2013.0,5.0,1.0
3798,3799.0,2015.0,Noviembre,27.0,Viernes,0.0,1.0,1.0,19.0,1901.0,1.0,99.0,Hombre,18.0,1.0,2.0,2.0,4.0,2.0,4.0,24.0,Negro,9999.0,6.0,2.0
3806,3807.0,2015.0,Noviembre,27.0,Viernes,22.0,4.0,3.0,3.0,301.0,1.0,99.0,Hombre,22.0,1.0,3.0,3.0,5.0,1.0,4.0,41.0,Blanco,2015.0,5.0,1.0
3812,3813.0,2015.0,Noviembre,28.0,Sabado,18.0,4.0,3.0,1.0,101.0,1.0,11.0,Hombre,26.0,1.0,4.0,4.0,6.0,9.0,4.0,2.0,Azul,9999.0,6.0,1.0
3818,3819.0,2015.0,Noviembre,28.0,Sabado,13.0,3.0,2.0,9.0,901.0,1.0,1.0,Hombre,27.0,1.0,4.0,4.0,6.0,9.0,4.0,42.0,Azul,2006.0,4.0,1.0
3825,3826.0,2015.0,Noviembre,29.0,Domingo,18.0,4.0,3.0,1.0,101.0,1.0,14.0,Hombre,24.0,1.0,3.0,3.0,5.0,1.0,4.0,2.0,Negro,2013.0,5.0,1.0
3836,3837.0,2015.0,Noviembre,29.0,Domingo,21.0,4.0,3.0,2.0,203.0,2.0,99.0,Hombre,17.0,2.0,2.0,2.0,4.0,1.0,4.0,42.0,Rojo,2012.0,5.0,1.0
3851,3852.0,2015.0,Diciembre,1.0,Martes,18.0,4.0,3.0,5.0,501.0,2.0,99.0,Hombre,27.0,1.0,4.0,4.0,6.0,1.0,4.0,40.0,Azul,9999.0,6.0,1.0
3856,3857.0,2015.0,Diciembre,1.0,Martes,21.0,4.0,3.0,14.0,1401.0,2.0,99.0,Hombre,17.0,2.0,2.0,2.0,4.0,1.0,4.0,21.0,Rojo,2013.0,5.0,1.0
3862,3863.0,2015.0,Diciembre,2.0,Miercoles,22.0,4.0,3.0,1.0,108.0,1.0,11.0,Hombre,32.0,1.0,5.0,5.0,7.0,1.0,4.0,24.0,Negro,2014.0,5.0,1.0
3866,3867.0,2015.0,Diciembre,3.0,Jueves,19.0,4.0,3.0,1.0,101.0,1.0,9.0,Hombre,21.0,1.0,3.0,3.0,5.0,9.0,4.0,2.0,Azul,9999.0,6.0,3.0
3873,3874.0,2015.0,Diciembre,3.0,Jueves,15.0,3.0,2.0,10.0,1002.0,2.0,99.0,Hombre,57.0,1.0,10.0,10.0,12.0,9.0,4.0,2.0,Negro,9999.0,6.0,3.0
3876,3877.0,2015.0,Diciembre,3.0,Jueves,4.0,1.0,1.0,4.0,401.0,2.0,99.0,Hombre,23.0,1.0,3.0,3.0,5.0,9.0,4.0,2.0,Azul,9999.0,6.0,2.0
3882,3883.0,2015.0,Diciembre,4.0,Viernes,22.0,4.0,3.0,11.0,1101.0,2.0,99.0,Hombre,27.0,1.0,4.0,4.0,6.0,1.0,4.0,99.0,Amarillo,2008.0,4.0,1.0
3898,3899.0,2015.0,Diciembre,5.0,Sabado,8.0,2.0,1.0,1.0,101.0,1.0,12.0,Hombre,25.0,1.0,4.0,4.0,6.0,1.0,4.0,40.0,Negro,9999.0,6.0,1.0
3904,3905.0,2015.0,Diciembre,5.0,Sabado,15.0,3.0,2.0,21.0,2101.0,1.0,99.0,Hombre,55.0,1.0,10.0,10.0,12.0,2.0,4.0,21.0,Beige,9999.0,6.0,1.0
3906,3907.0,2015.0,Diciembre,5.0,Sabado,8.0,2.0,1.0,19.0,1903.0,2.0,99.0,Hombre,17.0,2.0,2.0,2.0,4.0,9.0,4.0,31.0,Negro,2008.0,4.0,1.0
3913,3914.0,2015.0,Diciembre,5.0,Sabado,11.0,2.0,1.0,16.0,1609.0,2.0,99.0,Hombre,25.0,1.0,4.0,4.0,6.0,9.0,4.0,21.0,Negro,9999.0,6.0,1.0
3916,3917.0,2015.0,Diciembre,6.0,Domingo,0.0,1.0,1.0,1.0,101.0,1.0,1.0,Hombre,28.0,1.0,4.0,4.0,6.0,2.0,4.0,61.0,Rojo,9999.0,6.0,1.0
3918,3919.0,2015.0,Diciembre,6.0,Domingo,18.0,4.0,3.0,1.0,101.0,1.0,11.0,Hombre,28.0,1.0,4.0,4.0,6.0,9.0,4.0,2.0,Azul,9999.0,6.0,1.0
3921,3922.0,2015.0,Diciembre,6.0,Domingo,15.0,3.0,2.0,1.0,114.0,2.0,99.0,Hombre,28.0,1.0,4.0,4.0,6.0,9.0,4.0,99.0,Negro,9999.0,6.0,3.0
3928,3929.0,2015.0,Diciembre,6.0,Domingo,6.0,2.0,1.0,10.0,1020.0,2.0,99.0,Hombre,25.0,1.0,4.0,4.0,6.0,9.0,4.0,2.0,Azul,9999.0,6.0,2.0
3934,3935.0,2015.0,Diciembre,6.0,Domingo,13.0,3.0,2.0,4.0,416.0,2.0,99.0,Hombre,28.0,1.0,4.0,4.0,6.0,9.0,4.0,14.0,Negro,9999.0,6.0,1.0
3940,3941.0,2015.0,Diciembre,7.0,Lunes,19.0,4.0,3.0,5.0,513.0,1.0,99.0,Mujer,18.0,1.0,2.0,2.0,4.0,1.0,4.0,41.0,Negro,9999.0,6.0,1.0
3941,3942.0,2015.0,Diciembre,7.0,Lunes,19.0,4.0,3.0,10.0,1001.0,1.0,2.0,Hombre,24.0,1.0,3.0,3.0,5.0,9.0,4.0,2.0,Negro,2015.0,5.0,1.0
3949,3950.0,2015.0,Diciembre,8.0,Martes,19.0,4.0,3.0,1.0,115.0,1.0,12.0,Hombre,30.0,1.0,5.0,5.0,7.0,9.0,4.0,2.0,Negro,2012.0,5.0,3.0
3952,3953.0,2015.0,Diciembre,8.0,Martes,18.0,4.0,3.0,10.0,1001.0,2.0,99.0,Hombre,21.0,1.0,3.0,3.0,5.0,1.0,4.0,2.0,Rojo,2013.0,5.0,1.0
3966,3967.0,2015.0,Diciembre,10.0,Jueves,10.0,2.0,1.0,16.0,1601.0,2.0,99.0,Hombre,19.0,1.0,2.0,2.0,4.0,1.0,4.0,24.0,Negro,9999.0,6.0,1.0
3970,3971.0,2015.0,Diciembre,11.0,Viernes,6.0,2.0,1.0,5.0,506.0,2.0,99.0,Hombre,37.0,1.0,6.0,6.0,8.0,9.0,4.0,42.0,Rojo,9999.0,6.0,1.0
3975,3976.0,2015.0,Diciembre,11.0,Viernes,9.0,2.0,1.0,18.0,1805.0,2.0,99.0,Hombre,27.0,1.0,4.0,4.0,6.0,9.0,4.0,21.0,Rojo,9999.0,6.0,1.0
3976,3977.0,2015.0,Diciembre,11.0,Viernes,15.0,3.0,2.0,18.0,1805.0,2.0,99.0,Hombre,61.0,1.0,11.0,11.0,13.0,1.0,4.0,42.0,Rojo,2013.0,5.0,1.0
3992,3993.0,2015.0,Diciembre,12.0,Sabado,1.0,1.0,1.0,18.0,1801.0,2.0,99.0,Hombre,25.0,1.0,4.0,4.0,6.0,9.0,4.0,24.0,Rojo,9999.0,6.0,3.0
3993,3994.0,2015.0,Diciembre,12.0,Sabado,1.0,1.0,1.0,17.0,1712.0,2.0,99.0,Hombre,19.0,1.0,2.0,2.0,4.0,9.0,4.0,42.0,Rojo,9999.0,6.0,1.0
3997,3998.0,2015.0,Diciembre,13.0,Domingo,9.0,2.0,1.0,3.0,301.0,1.0,99.0,Hombre,19.0,1.0,2.0,2.0,4.0,1.0,4.0,21.0,Rojo,9999.0,6.0,1.0
4015,4016.0,2015.0,Diciembre,14.0,Lunes,2.0,1.0,1.0,1.0,108.0,1.0,6.0,Hombre,25.0,1.0,4.0,4.0,6.0,1.0,4.0,24.0,Gris,9999.0,6.0,3.0
4019,4020.0,2015.0,Diciembre,14.0,Lunes,17.0,3.0,2.0,16.0,1601.0,1.0,2.0,Hombre,46.0,1.0,8.0,8.0,10.0,2.0,4.0,42.0,Rojo,9999.0,6.0,2.0
4021,4022.0,2015.0,Diciembre,14.0,Lunes,3.0,1.0,1.0,17.0,1704.0,1.0,99.0,Hombre,24.0,1.0,3.0,3.0,5.0,2.0,4.0,42.0,Rojo,9999.0,6.0,2.0
4030,4031.0,2015.0,Diciembre,15.0,Martes,22.0,4.0,3.0,9.0,922.0,2.0,99.0,Hombre,24.0,1.0,3.0,3.0,5.0,2.0,4.0,31.0,Negro,9999.0,6.0,3.0
4037,4038.0,2015.0,Diciembre,15.0,Martes,19.0,4.0,3.0,4.0,409.0,2.0,99.0,Hombre,40.0,1.0,7.0,7.0,9.0,9.0,4.0,42.0,Negro,9999.0,6.0,1.0
4039,4040.0,2015.0,Diciembre,16.0,Miercoles,22.0,4.0,3.0,1.0,101.0,1.0,5.0,Hombre,70.0,1.0,13.0,11.0,15.0,9.0,4.0,42.0,Negro,9999.0,6.0,1.0
4050,4051.0,2015.0,Diciembre,17.0,Jueves,10.0,2.0,1.0,1.0,101.0,1.0,10.0,Hombre,34.0,1.0,5.0,5.0,7.0,9.0,4.0,42.0,Amarillo,2013.0,5.0,1.0
4052,4053.0,2015.0,Diciembre,17.0,Jueves,19.0,4.0,3.0,1.0,101.0,1.0,7.0,Hombre,50.0,1.0,9.0,9.0,11.0,9.0,4.0,21.0,Gris,2007.0,4.0,1.0
4059,4060.0,2015.0,Diciembre,17.0,Jueves,21.0,4.0,3.0,5.0,511.0,2.0,99.0,Hombre,16.0,2.0,2.0,2.0,4.0,9.0,4.0,21.0,Rojo,2015.0,5.0,1.0
4070,4071.0,2015.0,Diciembre,18.0,Viernes,23.0,4.0,3.0,1.0,101.0,1.0,4.0,Hombre,30.0,1.0,5.0,5.0,7.0,2.0,4.0,24.0,Rojo,9999.0,6.0,1.0
4072,4073.0,2015.0,Diciembre,18.0,Viernes,19.0,4.0,3.0,1.0,101.0,1.0,1.0,Hombre,26.0,1.0,4.0,4.0,6.0,1.0,4.0,99.0,Negro,2015.0,5.0,1.0
4074,4075.0,2015.0,Diciembre,18.0,Viernes,5.0,1.0,1.0,1.0,101.0,1.0,11.0,Hombre,32.0,1.0,5.0,5.0,7.0,9.0,4.0,2.0,Azul,9999.0,6.0,1.0
4078,4079.0,2015.0,Diciembre,18.0,Viernes,0.0,1.0,1.0,12.0,1217.0,2.0,99.0,Hombre,21.0,1.0,3.0,3.0,5.0,1.0,4.0,42.0,Rojo,9999.0,6.0,1.0
4117,4118.0,2015.0,Diciembre,20.0,Domingo,1.0,1.0,1.0,12.0,1217.0,2.0,99.0,Hombre,42.0,1.0,7.0,7.0,9.0,2.0,4.0,2.0,Blanco,9999.0,6.0,2.0
4120,4121.0,2015.0,Diciembre,20.0,Domingo,22.0,4.0,3.0,12.0,1219.0,2.0,99.0,Hombre,24.0,1.0,3.0,3.0,5.0,2.0,4.0,14.0,Negro,9999.0,6.0,3.0
4167,4168.0,2015.0,Diciembre,24.0,Jueves,3.0,1.0,1.0,5.0,511.0,2.0,99.0,Hombre,24.0,1.0,3.0,3.0,5.0,2.0,4.0,2.0,Azul,2012.0,5.0,3.0
4175,4176.0,2015.0,Diciembre,24.0,Jueves,16.0,3.0,2.0,18.0,1801.0,2.0,99.0,Hombre,23.0,1.0,3.0,3.0,5.0,2.0,4.0,2.0,Negro,2008.0,4.0,1.0
4180,4181.0,2015.0,Diciembre,24.0,Jueves,22.0,4.0,3.0,1.0,108.0,1.0,19.0,Hombre,20.0,1.0,3.0,3.0,5.0,9.0,4.0,14.0,Azul,2006.0,4.0,1.0
4197,4198.0,2015.0,Diciembre,25.0,Viernes,22.0,4.0,3.0,1.0,116.0,2.0,99.0,Hombre,27.0,1.0,4.0,4.0,6.0,9.0,4.0,24.0,Rojo,9999.0,6.0,1.0
4198,4199.0,2015.0,Diciembre,25.0,Viernes,20.0,4.0,3.0,3.0,303.0,2.0,99.0,Hombre,47.0,1.0,8.0,8.0,10.0,9.0,4.0,40.0,Negro,9999.0,6.0,1.0
4203,4204.0,2015.0,Diciembre,26.0,Sabado,20.0,4.0,3.0,3.0,314.0,2.0,99.0,Hombre,21.0,1.0,3.0,3.0,5.0,9.0,4.0,24.0,Negro,9999.0,6.0,3.0
4205,4206.0,2015.0,Diciembre,26.0,Sabado,16.0,3.0,2.0,22.0,2207.0,2.0,99.0,Hombre,60.0,1.0,11.0,11.0,13.0,9.0,4.0,99.0,Rojo,9999.0,6.0,2.0
4231,4232.0,2015.0,Diciembre,28.0,Lunes,5.0,1.0,1.0,5.0,502.0,2.0,99.0,Hombre,40.0,1.0,7.0,7.0,9.0,9.0,4.0,49.0,Azul,1990.0,3.0,3.0
4241,4242.0,2015.0,Diciembre,29.0,Martes,5.0,1.0,1.0,1.0,101.0,1.0,7.0,Hombre,29.0,1.0,4.0,4.0,6.0,1.0,4.0,20.0,Rojo,9999.0,6.0,1.0
4244,4245.0,2015.0,Diciembre,29.0,Martes,23.0,4.0,3.0,19.0,1905.0,1.0,99.0,Hombre,32.0,1.0,5.0,5.0,7.0,1.0,4.0,42.0,Rojo,9999.0,6.0,1.0
4258,4259.0,2015.0,Diciembre,30.0,Miercoles,15.0,3.0,2.0,10.0,1012.0,2.0,99.0,Hombre,16.0,2.0,2.0,2.0,4.0,1.0,4.0,2.0,Rojo,2013.0,5.0,1.0
4275,4276.0,2015.0,Diciembre,31.0,Jueves,17.0,3.0,2.0,5.0,502.0,2.0,99.0,Mujer,32.0,1.0,5.0,5.0,7.0,1.0,4.0,41.0,Rojo,9999.0,6.0,1.0
4281,4282.0,2015.0,Diciembre,31.0,Jueves,7.0,2.0,1.0,18.0,1804.0,2.0,99.0,Hombre,39.0,1.0,6.0,6.0,8.0,9.0,4.0,5.0,Gris,9999.0,6.0,2.0
4282,4283.0,2015.0,Diciembre,31.0,Jueves,23.0,4.0,3.0,18.0,1802.0,2.0,99.0,Hombre,21.0,1.0,3.0,3.0,5.0,2.0,4.0,42.0,Rojo,9999.0,6.0,2.0
4288,4289.0,2015.0,Enero,1.0,Jueves,12.0,3.0,2.0,1.0,108.0,1.0,6.0,Hombre,24.0,1.0,3.0,3.0,5.0,1.0,4.0,14.0,Rojo,2013.0,5.0,5.0
4289,4290.0,2015.0,Enero,1.0,Jueves,23.0,4.0,3.0,1.0,110.0,2.0,99.0,Hombre,28.0,1.0,4.0,4.0,6.0,1.0,4.0,2.0,Blanco,9999.0,6.0,5.0
4328,4329.0,2015.0,Enero,7.0,Miercoles,8.0,2.0,1.0,1.0,115.0,1.0,5.0,Hombre,27.0,1.0,4.0,4.0,6.0,9.0,4.0,37.0,Azul,2004.0,4.0,5.0
4344,4345.0,2015.0,Enero,9.0,Viernes,16.0,3.0,2.0,5.0,501.0,2.0,99.0,Hombre,43.0,1.0,7.0,7.0,9.0,1.0,4.0,49.0,Rojo,9999.0,6.0,5.0
4350,4351.0,2015.0,Enero,10.0,Sabado,14.0,3.0,2.0,1.0,108.0,1.0,6.0,Hombre,20.0,1.0,3.0,3.0,5.0,9.0,4.0,21.0,Negro,2012.0,5.0,5.0
4358,4359.0,2015.0,Enero,11.0,Domingo,4.0,1.0,1.0,20.0,2001.0,1.0,1.0,Hombre,22.0,1.0,3.0,3.0,5.0,9.0,4.0,2.0,Azul,2013.0,5.0,5.0
4367,4368.0,2015.0,Enero,14.0,Miercoles,22.0,4.0,3.0,5.0,506.0,2.0,99.0,Hombre,44.0,1.0,7.0,7.0,9.0,9.0,4.0,2.0,Rojo,9999.0,6.0,5.0
4389,4390.0,2015.0,Enero,18.0,Domingo,16.0,3.0,2.0,1.0,101.0,1.0,18.0,Hombre,19.0,1.0,2.0,2.0,4.0,9.0,4.0,21.0,Rojo,9999.0,6.0,5.0
4398,4399.0,2015.0,Enero,19.0,Lunes,23.0,4.0,3.0,1.0,101.0,1.0,18.0,Hombre,32.0,1.0,5.0,5.0,7.0,9.0,4.0,42.0,Rojo,9999.0,6.0,5.0
4399,4400.0,2015.0,Enero,19.0,Lunes,19.0,4.0,3.0,1.0,115.0,1.0,5.0,Hombre,18.0,1.0,2.0,2.0,4.0,9.0,4.0,2.0,Negro,9999.0,6.0,5.0
4411,4412.0,2015.0,Enero,22.0,Jueves,17.0,3.0,2.0,20.0,2001.0,2.0,99.0,Hombre,42.0,1.0,7.0,7.0,9.0,9.0,4.0,24.0,Amarillo,9999.0,6.0,5.0
4451,4452.0,2015.0,Enero,29.0,Jueves,8.0,2.0,1.0,1.0,101.0,1.0,6.0,Hombre,24.0,1.0,3.0,3.0,5.0,9.0,4.0,61.0,Negro,2013.0,5.0,5.0
4456,4457.0,2015.0,Enero,29.0,Jueves,18.0,4.0,3.0,5.0,501.0,2.0,99.0,Hombre,25.0,1.0,4.0,4.0,6.0,9.0,4.0,2.0,Azul,9999.0,6.0,5.0
4496,4497.0,2015.0,Febrero,5.0,Jueves,15.0,3.0,2.0,1.0,107.0,2.0,99.0,Hombre,40.0,1.0,7.0,7.0,9.0,2.0,4.0,2.0,Negro,2014.0,5.0,5.0
4511,4512.0,2015.0,Febrero,7.0,Sabado,22.0,4.0,3.0,1.0,101.0,1.0,5.0,Hombre,21.0,1.0,3.0,3.0,5.0,9.0,4.0,21.0,Negro,2013.0,5.0,5.0
4515,4516.0,2015.0,Febrero,7.0,Sabado,20.0,4.0,3.0,22.0,2214.0,2.0,99.0,Hombre,21.0,1.0,3.0,3.0,5.0,9.0,4.0,42.0,Azul,2013.0,5.0,5.0
4528,4529.0,2015.0,Febrero,8.0,Domingo,21.0,4.0,3.0,4.0,407.0,2.0,99.0,Hombre,24.0,1.0,3.0,3.0,5.0,1.0,4.0,2.0,Rojo,2013.0,5.0,5.0
4593,4594.0,2015.0,Febrero,16.0,Lunes,5.0,1.0,1.0,3.0,302.0,2.0,99.0,Hombre,22.0,1.0,3.0,3.0,5.0,9.0,4.0,99.0,Negro,2012.0,5.0,5.0
4609,4610.0,2015.0,Febrero,18.0,Miercoles,19.0,4.0,3.0,1.0,108.0,1.0,5.0,Hombre,50.0,1.0,9.0,9.0,11.0,1.0,4.0,20.0,Azul,2012.0,5.0,5.0
4611,4612.0,2015.0,Febrero,18.0,Miercoles,8.0,2.0,1.0,5.0,501.0,2.0,99.0,Hombre,37.0,1.0,6.0,6.0,8.0,9.0,4.0,99.0,Anaranjado,9999.0,6.0,5.0
4619,4620.0,2015.0,Febrero,19.0,Jueves,17.0,3.0,2.0,22.0,2211.0,2.0,99.0,Mujer,15.0,2.0,2.0,2.0,4.0,1.0,4.0,2.0,Negro,2013.0,5.0,5.0
4650,4651.0,2015.0,Febrero,22.0,Domingo,19.0,4.0,3.0,11.0,1102.0,2.0,99.0,Hombre,22.0,1.0,3.0,3.0,5.0,9.0,4.0,45.0,Negro,2012.0,5.0,5.0
4655,4656.0,2015.0,Febrero,22.0,Domingo,0.0,1.0,1.0,3.0,301.0,2.0,99.0,Hombre,40.0,1.0,7.0,7.0,9.0,9.0,4.0,42.0,Gris,2006.0,4.0,5.0
4659,4660.0,2015.0,Febrero,23.0,Lunes,18.0,4.0,3.0,8.0,802.0,2.0,99.0,Hombre,20.0,1.0,3.0,3.0,5.0,9.0,4.0,21.0,Negro,2012.0,5.0,5.0
4667,4668.0,2015.0,Febrero,25.0,Miercoles,12.0,3.0,2.0,1.0,101.0,1.0,11.0,Hombre,23.0,1.0,3.0,3.0,5.0,1.0,4.0,2.0,Negro,2012.0,5.0,5.0
4670,4671.0,2015.0,Febrero,25.0,Miercoles,20.0,4.0,3.0,17.0,1706.0,2.0,99.0,Hombre,15.0,2.0,2.0,2.0,4.0,1.0,4.0,14.0,Negro,2010.0,5.0,5.0
4677,4678.0,2015.0,Febrero,26.0,Jueves,16.0,3.0,2.0,14.0,1401.0,1.0,1.0,Hombre,37.0,1.0,6.0,6.0,8.0,2.0,4.0,21.0,Negro,2013.0,5.0,5.0
4678,4679.0,2015.0,Febrero,26.0,Jueves,15.0,3.0,2.0,3.0,302.0,2.0,99.0,Hombre,40.0,1.0,7.0,7.0,9.0,1.0,4.0,24.0,Azul,2012.0,5.0,5.0
4696,4697.0,2015.0,Febrero,28.0,Sabado,19.0,4.0,3.0,5.0,501.0,2.0,99.0,Hombre,20.0,1.0,3.0,3.0,5.0,1.0,4.0,24.0,Rojo,9999.0,6.0,5.0
4705,4706.0,2015.0,Marzo,1.0,Domingo,17.0,3.0,2.0,1.0,101.0,1.0,7.0,Hombre,27.0,1.0,4.0,4.0,6.0,2.0,4.0,2.0,Rojo,9999.0,6.0,5.0
4712,4713.0,2015.0,Marzo,1.0,Domingo,19.0,4.0,3.0,4.0,401.0,2.0,99.0,Hombre,26.0,1.0,4.0,4.0,6.0,1.0,4.0,42.0,Gris,2007.0,4.0,5.0
4718,4719.0,2015.0,Marzo,3.0,Martes,21.0,4.0,3.0,1.0,108.0,1.0,11.0,Hombre,28.0,1.0,4.0,4.0,6.0,2.0,4.0,2.0,Azul,2012.0,5.0,5.0
4735,4736.0,2015.0,Marzo,7.0,Sabado,19.0,4.0,3.0,12.0,1201.0,2.0,99.0,Hombre,23.0,1.0,3.0,3.0,5.0,1.0,4.0,21.0,Rojo,2010.0,5.0,5.0
4736,4737.0,2015.0,Marzo,7.0,Sabado,12.0,3.0,2.0,7.0,705.0,2.0,99.0,Hombre,22.0,1.0,3.0,3.0,5.0,1.0,4.0,40.0,Azul,2012.0,5.0,5.0
4754,4755.0,2015.0,Marzo,9.0,Lunes,10.0,2.0,1.0,1.0,101.0,1.0,21.0,Hombre,18.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,Rojo,2012.0,5.0,5.0
4791,4792.0,2015.0,Marzo,15.0,Domingo,16.0,3.0,2.0,13.0,1324.0,2.0,99.0,Hombre,19.0,1.0,2.0,2.0,4.0,1.0,4.0,21.0,Rojo,2014.0,5.0,5.0
4810,4811.0,2015.0,Marzo,17.0,Martes,22.0,4.0,3.0,17.0,1707.0,2.0,99.0,Hombre,22.0,1.0,3.0,3.0,5.0,2.0,4.0,2.0,Negro,2013.0,5.0,5.0
4839,4840.0,2015.0,Marzo,21.0,Sabado,1.0,1.0,1.0,1.0,101.0,1.0,15.0,Hombre,32.0,1.0,5.0,5.0,7.0,1.0,4.0,24.0,Rojo,2014.0,5.0,5.0
